2PM	 'the time'
Lud	 'man in Gen 11'

Ludim	 'man in Gen 10'

Luke	 'the writer of the 3rd gospel'

Luz	 'city in Gen 28'

Lysanias	 'the person (Luke 3:1)'

Maacah	 'man in Gen 22'

Maath	 'the person (Luke 3)'

Macedonia	 'the place'

machine	 'a mechanical device that does work (e.g., sewing machine)'

Machpelah	 'name of the field in Gen 23'

Madai	 'man in Gen 10'

Magdalene	 'Mary Magdalene'

Magdiel	 'man in Gen. 36:43'

magician	 'someone who does magic'

Magog	 'man in Gen 10'

Mahalalel	 'the person (Luke 3)'

Mahalath	 'the woman in Gen 28'

Mahanaim	 'place in Gen 32'

Mahlon	 'son of Naomi'

Makir	 'Joseph's grandson (Gen. 49:23)'

Malkiel	 'man in Gen. 46:17'

Mamre	 'person in Gen 13'

Mamre	 'place in Genesis 18'

man	 'male human'

man	 'emphasizes grown man, not a boy'

Manahath	 'man in Gen. 36:23'

Manasseh	 'son of Hezekiah, descendant of David'

mandrake	 'a plant'

manger	 'comlex - feeding trough for animals'

manure	 'solid waste material from animals'

Mara	 'Mara, the name Naomi wanted to be called in Ruth'

marble	 'a type of expensive stone often used in building'

March	 'the month'

mark	 'a mark on something'

Mark	 'a man's name, the writer of the second gospel'

market	 'the marketplace'

marriage	 'the relationship between two people who are married'

Marsena	 'in Esther'

Martha	 'the person (Luke 10:38)'

Mary	 'a woman's name'

Masrekah	 'city in Gen. 36:36'

Massa	 'a man's name'

Massah	 'place (Ex 17:7)'

master	 'the owner or boss of a slave'

master	 'teacher, title used by disciples for Jesus'

mat	 'a mat that a person sits on or sleeps on'

Matred	 'woman in Gen. 36:39'

Mattatha	 'the person (Luke 3)'

Mattathias	 'the person (Luke 3:25)'

Matthat	 'the person (Luke 3:24)'

Matthew	 'the disciple'

Matthias	 'man's name in Acts 1:23'

Me-Zahab	 'man in Gen. 36:39'

meal	 'a meal'

meaning	 'the meaning of a word, dream, message, etc.'

meat	 'meat to eat'

Medan	 'man in Gen 25'

Media	 'Esther 10:2'

medicine	 'substance meant to help cure an injury or disease'

meeting	 'an assembly of people'

Mehetabel	 'woman in Gen. 36:39'

Mehujael	 'man in Gen. 4:18'

Mehuman	 'in Esther'

Melchi	 'the person (Luke 3)'

Melchizedek	 'the person in Gen 14'

Melea	 'the person (Luke 3)'

Melissa	 'name'

Memucan	 'in Esther'

Mene	 'a transliteration of a word written on the wall for King Belshazzar in Daniel.  THIS SHOULD BE A VERB.'

Menna	 'the person (Luke 3)'

Merari	 'Levi's son'

merchant	 'complex - someone who sells something'

Meres	 'in Esther'

Mesha	 'the city'

Meshach	 'Mishael's Babylonian name'

Meshech	 'man in Gen 11'

Mesopotamia	 'the place'

message	 'complex - an indirect written or oral communication for someone'

messenger	 'a person who carries and delivers written messages'

Messiah	 'the Messiah'

metal	 'the substance, metal'

meter	 'unit of length, a little longer than 3 feet'

Methuselah	 'oldest man that ever lived'

Methushael	 'man in Gen. 4:18'

Mibsam	 'a man's name'

Mibzar	 'man in Gen. 36:42'

Michael	 'one of the archangels'

middle	 'the middle point of an area (the middle of the sea)'

middle	 'the middle point between two places'

Midian	 'the place'

Midian	 'man in Gen 25'

Midianite	 'people in Gen. 36:35'

midnight	 'the time midnight'

Migdal-Eder	 'place in Gen. 35:21'

Milcah	 'woman in Gen 11'

milk	 'the liquid that comes from a cow and people drink'

mind	 'the mind'

miracle	 'a miraculous act'

Mishael	 'a friend of Daniel'

Mishma	 'a man's name'

Mizpah	 'the place'

Mizraim	 'man in Gen 10'

Mizzah	 'man in Gen. 36:13'

Moab	 'the place'

Moabite	 'a person of the moabites'

money	 'money'

month	 'a calendar month'

moon	 'the moon'

Mordecai	 'cousin of Esther'

Moreh	 'Place in Gen 12'

Moriah	 'the mountain in Gen 22'

morning	 'the morning'

mortar	 'cement for bricks'

Moses	 'the person Moses'

moth	 'the insect'

mother	 'mother of a child'

mother-in-law	 'a mother-in-law'

mount-Olives	 'the place'

mount-Sinai	 'a mountain named Sinai'

mount-Zion	 'the place'

mountain	 'a mountain'

mouth	 'the mouth of a human or animal'

Muppim	 'man in Gen. 46:21'

muscle	 'muscle in an animal's body'

music	 'music'

myrrh	 'the substance myrrh'

mystery	 'something unknown, something impossible to understand'

Naamah	 'woman in Gen. 4:22'

Naaman	 'the person (Luke 4:27)'

Naggai	 'the person (Luke 3:25)'

Nahath	 'man in Gen. 36:13'

Nahor	 'the person (Luke 3)'

Nahshon	 'relative of Aaron'

Nahum	 'the prophet in the book of Nahum'

nail	 'the hard plate at the ends of fingers and toes'

nail	 'used to attach 2 pieces of wood'

Nain	 'the town where Jesus raised the widow's son from the dead'

name	 'what a person is called'

Nano	 'man's name in Avian Influenza'

Naomi	 'mother of Ruth'

Naphish	 'a man's name'

Naphtali	 'Jacob's son'

Naphtuhim	 'man in Gen 10'

Nathan	 'the person (Luke 3)'

nation	 'the political unit, a nation'

Nazareth	 'the place'

Nebaioth	 'a man's name'

Nebuchadnezzar	 'king of Babylon'

neck	 'the neck'

necklace	 'jewelry worn around the neck'

needle	 'a needle used for sewing'

Negev	 'a desert area in southern Canaan'

neighbor	 'complex - a person who lives near someone'

nephew	 'son of your brother'

Nephilim	 'giants, from Gen 6'

Neri	 'the person (Luke 3)'

nerve	 'the body part that carries messages between the brain and other body parts'

nest	 'a bird's nest'

net	 'a net for catching fish'

Netty	 'a name of a person'

news	 'news about someone or something'

night	 'the time after dark'

Nile	 'the name of the river'

Nimrod	 'man in Gen 10'

Nina	 'name of a girl in Avian Influenza'

Nineveh	 'the place'

Noah	 'the person God saved from the flood'

Nod	 'area where Cain lived in Gen. 4:16'

noon	 'time at 12:00 noon'

north	 'the compass direction'

nose	 'part of the face, both for people and animals'

November	 'the 11th month of the year'

number	 'the number of something (the number of Israelites is high)'

Nun	 'a man's name, the father of Joshua'

nurse	 'person who assists someone medically'

Nympha	 'a woman's name, mentioned in Colossians 4'

Obal	 'man in Gen 11'

Obed	 'son of Boaz and Ruth'

ocean	 'large masses of salt water that cover most of the earth's surface'

offering	 'an offering or sacrifice to God'

offering-drink	 'a drink offering (Gen. 35:14)'

office	 'place of business'

officer	 'military leader'

official	 'a governement official'

Ohad	 'Simeon's son'

Oholibamah	 'woman in Gen. 36:2'

oil	 'oil, used on the skin'

oil	 'oil, used in cooking'

oil-olive	 'oil that comes from olives (John poured the olive oil on the stone.)'

olive	 'the fruit'

olive	 'DELETE'

Omar	 'man in Gen. 36:11'

On	 'an Egyptian god in Gen. 41:45'

Onam	 'man in Gen. 36:23'

Onan	 'boy in Gen. 38:4'

Onesimus	 'a man's name, one of Paul's coworkers in Colossians 4'

Ophir	 'man in Gen 11'

opinion	 'one's ideas or beliefs about a particular subject (John told Mary his opinion.)'

opponent	 'someone who you try to defeat in a competition, game, fight, or argument'

organization	 'an officially recognized work group'

Orpah	 'the wife of Naomi's son'

outside	 'the outside of something like a cup'

oven	 'place where you bake'

ox	 'an animal like a cow'

pain	 'the abstract thing, pain'

palace	 'the place where the king lives'

Pallu	 'Reuben's son'

parable	 'a story that teaches'

Paran	 'the place'

parent	 'a parent of a child'

Parmashta	 'Esther 9:7-9'

Parshandatha	 'Esther 9:7-9'

part	 'a part of something'

party	 'a fun event usually celebrating something like a birthday'

Passover	 'the Passover'

pastor	 'leader of a church'

path	 'a path to walk or drive on'

Pathrusim	 'man in Gen 10'

Pau	 'city in Gen. 36:39'

Paul	 'the apostle'

Paulus	 'name of a man in Avian Influenza'

peace	 'the abstract quality of peace'

Peleg	 'the person (Luke 3)'

pen	 'the writing tool'

pen	 'an enclosure for animals'

Peniel	 'the place in Gen 32'

penny	 'a penny, smallest unit of money'

Peres	 'a transliteration of a word written on the wall for king Belshazzar in Daniel.  THIS SHOULD BE A VERB.'

Perez	 'son of Judah'

perfume	 'complex - oil that smells good'

Perizzite	 'a Perizzite person'

Persia	 'Esther 10:2'

person	 'a human being'

Peter	 'a man's name'

Phanuel	 'father of Anna, the prophetess (Luke 2:36)'

Pharisee	 'a Pharisee'

Phicol	 'the man in Gen 21'

Philip	 'the disciple'

Philippi	 'the place'

Philistia	 'the country of the Philistine people'

Philistine	 'a person from the Philistine people'

picture	 'a drawing or image of something'

pidgeon	 'a type of bird'

piece	 'a small bit of something'

pig	 'a pig'

Pilate	 'the Roman governor'

Pildash	 'man in Gen 22'

pile	 'a large heap'

pillar	 'a pillar'

Pinon	 'man in Gen. 36:41'

Pishon	 'river in Gen. 2:11'

pistachio	 'a type of nut'

pit	 'a hole'

pitcher	 'a container to hold a drink'

place	 'generic word for a location'

plain	 'a large area of dry, flat land'

plan	 'a plan'

plant	 'a plant'

plastic	 'the material (e.g., plastic bag)'

plate	 'something used to put food on'

pond	 'a pond of water'

Poratha	 'Esther 9:7-9'

pot	 'something used to cook with'

Potiphar	 'man in Gen. 37:36'

Potiphera	 'man in Gen. 41:45'

power	 'military strength'

power	 'power, ability to defeat enemies'

prayer	 'the thing that is prayed'

price	 'the amount that needs to be paid to buy an item'

priest	 'priest of God'

prince	 'son of a king'

Prince-of-princes	 'title for Jesus Christ in Daniel 8:25'

princess	 'daughter of king'

prison	 'a prison'

prisoner	 'someone in jail or held captive'

prize	 'a prize'

problem	 'difficult circumstance'

promise	 'a promise or an oath'

prophet	 'a prophet'

prostitute	 'complex - a women who sells sex for money'

province	 'a political entity, like a state'

Psalms	 'the name of the book in the Bible'

Puah	 'the Israelite nurse in Ex 1:15'

pur	 'Hebrew word for lots'

Purim	 'the feast celebrated by the Jews to commemorate the events in Esther'

purse	 'a bag in which you keep money and/or other small things'

pus	 'dirty secretion from a wound'

Put	 'A city (Nahum 3:9)'

Put	 'man in Gen 10'

queen	 'a queen'

question	 'a question'

Quirinius	 'the governor of Syria when Jesus was born (Luke 2:2)'

Raamah	 'man in Gen 10'

Rachel	 'Jacob's wife'

rain	 'the liquid that falls from the sky'

rainbow	 'rainbow'

Ram	 'son of Hezron'

ram	 'complex - a male sheep'

Rameses	 'the Egyptian city'

raven	 'the type of bird, no particular trait such as clever, dirty, etc.'

reason	 'the reason something happened'

Rebekah	 'wife of Isaac'

reed	 'a plant like grass that grows very tall'

region	 'an area, place'

Rehoboth	 'the well in Gen 26'

Rehoboth-ir	 'the city'

relationship	 'the way in which two people feel about each other (e.g., a good/bad/close relationship)'

relative	 'a person who is related by blood or marriage'

religion	 'a belief in God or gods'

Rephaite	 'person of the Rephaites'

report	 'a written or oral informative description of a situation or event (John prepared a report.)'

representative	 'a person who has been chosen to speak for a group of people'

Resen	 'the city'

Reu	 'the person (Luke 3)'

Reuben	 'Jacob's son'

Reuel	 'person in Ex 2:18,also called Jethro.  Moses father-in-law'

Reumah	 'woman in Gen 22'

reward	 'a reward'

Rhesa	 'the person (Luke 3)'

rib	 'the curved bones that attach to the spine and protect the chest'

right	 'something that you are morally, legally, or officially allowed to do or have (Every person has certain rights.)'

ring	 'a metal ring used to fasten one thing to another thing - not a ring that is worn on a finger'

ring	 'a metal band worn around a finger'

Riphath	 'man in Gen 10'

river	 'a river, body of water'

road	 'a road'

robe	 'a type of clothing'

Rodanim	 'man in Gen 10'

roof	 'the top of a building'

room	 'a room'

rooster	 'adult male chicken, birds that crow and fight each other'

root	 'root of a plant'

rope	 'thick string, used to tie things'

Rosh	 'man in Gen. 46:21'

ruler	 'someone who has a lot of political power such as a king or queen'

Ruth	 'from the book of Ruth'

Sabbath	 'the Sabbath day'

Sabtah	 'man in Gen 10'

Sabteca	 'man in Gen 10'

sackcloth	 'rough clothing worn during mourning'

sacrifice	 'something that is sacrificed'

saddle	 'something you put on an animal to sit on'

Sadducee	 'a person who does not believe in spiritual life after physical death'

Salem	 'the place in Gen 14'

saliva	 'the liquid in a person's mouth'

Salmon	 'son of Nahshon, in genealogy if Jesus'

salt	 'the substance salt'

Samaria	 'the place'

Samaritan	 'a person from Samaria'

Samlah	 'man in Gen. 36:36'

sand	 'sand, such as found at the beach'

sandal	 'a sandal'

Sanhedrin	 'the high court of the Jews'

Sarah	 'the person'

Sarai	 'woman in Genesis, Abraham's wife'

Satan	 'Satan'

Saul	 'King Saul'

savior	 'complex - a person that will save many people'

scepter	 'the stick held by a king'

school	 'place where people are educated'

scorpion	 'a dangerous bug that can give a painful sting'

scribe	 'complex - someone who teaches other people about the Old Testament laws'

scripture	 'the scriptures'

sea	 'the sea, ocean'

sea-Dead	 'the Dead Sea'

season	 'an anual period of time such as the harvest season'

seat	 'a place to sit down'

Seba	 'man in Gen 10'

secret	 'a secret'

secretary	 'a person who records meetings or writes letters for someone'

seed	 'a seed'

seed-mustard	 'a seed from a mustard tree'

Seir	 'place in Gen 32'

Semein	 'the person (Luke 3)'

Sephar	 'the city'

Serah	 'woman in Gen. 46:17'

Sered	 'man in Gen. 46:14'

Serug	 'the person (Luke 3)'

servant	 'laborer not owned by master (see slave) but strongly attached'

set	 'a set of things'

Seth	 'son of Adam'

Shaashgaz	 'eunuch of King Xerxes in Esther'

shadow	 'the dark shape that something makes when it is between a light and a surface (e.g., John's shadow)'

Shadrach	 'Hananiah's Babylonian name'

Shammah	 'man in Gen. 36:13'

Shaul	 'Simeon's son'

Shaveh	 'the place in Gen 14'

Shaveh-Kiriathaim	 'place in Gen 14'

shawl	 'a cloth to keep warm'

Shealtiel	 'son of Jeconiah, descendant of David'

Sheba	 'the place'

Sheba	 'man in Gen 10/11'

Shechem	 'place in Gen 12'

Shechem	 'the man'

sheep	 'sheep'

sheet	 'covering for a bed'

Shelah	 'the person (Luke 3)'

Sheleph	 'man in Gen 11'

shell	 'the covering of a small sea creature'

Shell-Publishing	 'name of the company that owns Kande's Story'

shelter	 'a place where you can rest out of the elements'

Shem	 'son of Noah'

Shemeber	 'man in Gen 14'

shepherd	 'complex - a man that takes care of sheep'

Shepho	 'man in Gen. 36:23'

Shethar	 'in Esther'

Shibah	 'the well in Gen 26'

shield	 'a shield used for protection in a fight'

Shillem	 'man in Gen. 46:24'

Shiloh	 'Gen. 49:10, a possible reference to the Messiah'

Shimei	 'Levi's grandson'

Shimron	 'man in Gen. 46:13'

Shinab	 'man in Gen 14'

ship	 'a large boat'

shirt	 'a shirt'

Shobal	 'man in Gen. 36:20'

shoe	 'that which is worn on the feet'

shore	 'the shore of a body of water'

shoulder	 'the shoulder'

Shua	 'man in Gen. 38:2'

Shuah	 'man in Gen 25'

Shuni	 'man in Gen. 46:16'

Shur	 'a desert near the Red Sea'

Siddim	 'name of a Valley in Gen 14'

side	 'the side of something'

Sidon	 'the place'

Sidon	 'man in Gen 10'

sign	 'a sign, marking'

Siloam	 'the place in Luke 13:4'

silver	 'the substance silver'

Simeon	 'Jacob's son'

Simon	 'a man's name'

Simon-Peter	 'another name for Simon, the disciple'

sin	 'a sin, transgression'

Sin	 'a place (Ex 16:1)'

Sinite	 'a Sinite person'

sinner	 'complex - a person who sins'

sister	 'older female sibling'

sister	 'younger female sibling'

sister	 'generic term that includes both older and younger sisters'

sister	 'title used by Christians for women (Sister Mary, ...)'

Sitnah	 'the name of a well in Gen 26'

skill	 'ability'

skin	 'the skin of a person or animal'

skull	 'the bones of a person's or animal's head'

sky	 'the sky'

sky	 'heavenly bodies, "the heavens" as seen from earth'

slave	 'laborer owned by master (see 'servant' if not owned)'

sling	 'an ancient weapon for hurling stones'

smoke	 'smoke'

snake	 'the reptile'

snow	 'snow that falls from the sky - used in similes to indicate 'white''

soap	 'used for cleaning things'

Sodom	 'the place'

soil	 'dirt that plants grow in'

soldier	 'a military soldier'

Solomon	 'son of David'

son	 'male child of a parent'

Son	 'a title reserved soley for Jesus, emphasizes that Jesus is God's Son'

son-in-law	 'son in law'

Son-of-god	 'a title of Christ'

Son-of-man	 'a title of Christ, also used in the OT, emphasizes his humanity'

song	 'a song'

sore	 'a skin problem'

soul	 'the complete, living being of a person, opposed to the body'

sound	 'a sound'

south	 'the compass direction'

spear	 'a spear used by a soldier'

spice	 'used in cooking or for annointing body for burial'

spirit	 'the spirit of a person (see also Holy-Spirit)'

sponge	 'a porous material that absorbs liquid'

spouse	 'husband or wife'

spring	 'a spring of water'

spy	 'a person who secretly gathers information about someone'

staff	 'a walking stick, or shepherd's stick'

star	 'a star (in the sky)'

statue	 'an object shaped like a person or animal, usually made of stone, wood, or metal'

stick	 'a wooden stick'

stomach	 'a stomach'

stone	 'a stone or rock'

store	 'place where goods are sold'

storm	 'a storm'

story	 'a true story'

story	 'a story that did not actually happen'

straw	 'straw'

stream	 'flowing water, a small river'

street	 'a street in a city'

string	 'several threads twisted together, used to tie one thing to another thing'

stripe	 'a long, thin marking'

structure	 'any man-made structure'

student	 'a student'

substance	 'material of any type'

Succoth	 'a place in Egypt'

summer	 'the season of the year'

Summer-Institute-of-Linguistics	 'the organization'

sun	 'the sun'

sunrise	 'time at sunrise, dawn'

sunset	 'time at sunset, dusk'

Susa	 'captital city of King Xerxes, book of Esther'

Susanna	 'the person (Luke 8:3)'

sword	 'a sword'

synagogue	 'a synagogue'

Syntyche	 'the person (Phil 4:2)'

Syria	 'the place'

table	 'a table'

tablet	 'a stone tablet for writing'

Tahash	 'man in Gen 22'

tail	 'the tail of an animal'

Tamar	 'wife of Judah'

tamarisk	 'the tree'

tambourine	 'a tambourine, musical instrument'

tar	 'black, sticky substance'

Tarshish	 'in Esther'

tax	 'tax'

teacher	 'a person who teaches'

tear	 'a tear, from crying'

teaspoon	 'a small spoon'

Tebah	 'man in Gen 22'

Tekel	 'a transliteration of a word written on the wall for king Belshazzar in Daniel.  THIS SHOULD BE A VERB.'

Tema	 'a man's name'

Teman	 'man in Gen. 36:11'

Temanite	 'people in Gen. 36:34'

temple	 'a temple for worship'

tent	 'a tent'

Terah	 'the person (Luke 3)'

Teresh	 'guard in Esther 2:21'

Terpen	 'name of a village in Avian Influenza'

Teshi	 'name of a young girl, Kande's sister'

test	 'a test or temptation as in Luke 11:4'

testicle	 'a male organ'

Thebes	 'city near the Nile'

Theophilus	 'the person Luke writes to in Luke and Acts'

Thessalonica	 'the place'

thief	 'complex - a person who steals other people's things'

thing	 'a generic tangible object'

thing	 'a generic act or deed'

thing	 'a generic term for speech (John said/heard many things about the problem.)'

thing	 'a generic intangible object (e.g., faith, power, authority, etc.)'

Thomas	 'the disciple'

thorn	 'the sharp part of a thornbush'

thought	 'a thought'

thread	 'a thin string used in sewing'

throat	 'passageway inside neck that connects the mouth to the tube that goes to the stomach and lungs'

throne	 'place where a king sits'

thunder	 'loud sound during a storm'

Tiberius	 'the emperor of Rome (Luke 3:1)'

Tidal	 'man in Gen 14'

Tigris	 'name of a river'

time	 'generic word for time'

times	 'used with iteration to specify the number of iterations'

Timna	 'woman in Gen. 36:12'

Timnah	 'city in Gen. 38:12'

Timothy	 'the coworker of Paul'

tip	 'the pointed end of something such as a spear'

Tiras	 'man in Gen 10'

today	 'the current day'

toe	 'a digit on the foot'

Togarmah	 'man in Gen 10'

Tola	 'man in Gen. 46:13'

tomb	 'a type of grave where the corpse is put inside a room of some sort'

tomorrow	 'the day after today'

tongue	 'the tongue of a person or animal'

tool	 'a tool'

tooth	 'a tooth'

top	 'the top of something'

towel	 'a piece of cloth for drying'

tower	 'a tall structure'

town	 'a small city'

Traconitis	 'the place (Luke 3:1)'

treasure	 'something valuable'

treasury	 'like a bank, place where money is kept for a country'

treaty	 'an agreement between two nations'

tree	 'a tree'

tree-almond	 'an almond tree'

tree-cypress	 'a cypress tree'

tree-fig	 'a fig tree'

tree-mustard	 'a type of tree'

tree-oak	 'a type of tree'

tree-olive	 'an olive tree'

tree-poplar	 'a poplar tree'

tree-sycamore	 'a type of tree'

tribe	 'a tribe or clan'

trouble	 'trouble, hard times'

trough	 'place from which animals drink and eat'

trumpet	 'the musical instrument'

truth	 'the abstract thing, truth'

Tubal	 'man in Gen 10'

Tubal-Cain	 'man in Gen. 4:22'

twin	 'a person who has one sibling who was born at the same time.'

Tychicus	 'a man's name, one of Paul's coworkers in Colossians 4'

Tyre	 'the place'

Ulai	 'name of a river or canal in Daniel 8:2'

uncle	 'one's father's brother'

universe	 'all space, including the stars and planets'

Ur	 'place in Gen. 11'

Uz	 'man in Gen 11'

Uzal	 'man in Gen 11'

vaccine	 'something that kills germs and stops a disease'

Vaizatha	 'Esther 9:7-9'

valley	 'the lower ground place between 2 mountains or hills'

Vashti	 'Queen Vashti, in Esther'

vegetable	 'things that we eat'

veil	 'a cloth worn over a woman's face'

veterinarian	 'complex - an animal doctor'

village	 'a very small town'

vine	 'the plant that, for example, grapes grow on'

vinegar	 'the liquid'

vineyard	 'a place where grapes are grown'

virgin	 'complex - a woman who has not slept with a man'

vision	 'a prophetic vision'

voice	 'a voice'

vulture	 'a type of bird that eats dead animals'

wagon	 'a vehicle that carries people and heavy loads, usually pulled by horses'

waist	 'section above the hips of a person'

wall	 'a wall of a house or building'

wall	 'a wall around a city'

war	 'a military conflict'

water	 'water'

wave	 'a wave on a lake or ocean'

wealth	 'a great quantity of money or property'

weapon	 'a weapon used in war or a fight'

weather	 'weather, ambience'

wedding	 'a wedding ceremony'

weed	 'any unwanted plant'

week	 'a period of seven days'

well	 'a hole to get water out of'

west	 'the compass direction'

wheat	 'a wheat plant'

wheat	 'the food'

wheel	 'the wheel of a vehicle'

whip	 'the thing used to whip people'

whirlwind	 'a great wind, like a tornado'

widow	 'complex - a woman whose husband is dead'

wife	 'female spouse'

wind	 'the wind'

window	 'an opening in a wall so that people can see outside'

wine	 'wine'

wineskin	 'a container that holds wine, made of leather'

wing	 'the wing of a bird'

winter	 'the season'

wisdom	 'wisdom'

witchcraft	 'the evil practice of magic'

wolf	 'a wolf, wild dog'

woman	 'female human'

womb	 'place inside the woman where a baby lives'

wood	 'a piece of wood'

wool	 'the white hair covering sheep'

word	 'a unit of speech'

work	 'generic term for that which one does for a living'

worker	 'a person who works, laborer'

World-Vision	 'a Chrisitan organization'

wound	 'a wound received in battle'

Xerxes	 'the king in the book of Esther, some English translations use the name Ahasuerus'

Yahweh	 'the name of God, and also used occasionally for the pre-incarnate Christ in the theophanies (e.g., Gen. 18)'

Yatima	 'name of a baby girl in Kande's story'

year	 '365 days'

yeast	 'yeast'

yoke	 'a thing that farmers put on oxen so that the oxen can pull a plow'

Zaavan	 'man in Gen. 36:27'

Zacchaeus	 'a man's name'

Zaphenath-Paneah	 'Joseph's Egyptian name in Gen. 41:45'

Zarephath	 'the place (Luke 4:26)'

Zealot	 'Simon the Zealot'

Zebedee	 'a man's name, father of James and John'

Zeboiim	 'the city'

Zebulun	 'Jacob's son'

Zechariah	 'the prophet'

Zemarite	 'a Zemarite person'

Zepho	 'man in Gen. 36:11'

Zephon	 'man in Gen. 46:16'

Zerah	 'son of Judah'

Zeresh	 'wife of Haman in Esther'

Zerubbabel	 'son of Shealtiel, descendant of David'

Zethar	 'in Esther'

Zibeon	 'man in Gen. 36:2'

Zillah	 'woman in Gen. 4:19'

Zilpah	 'the woman in Gen 29'

Zimran	 'man in Gen 25'

Zoar	 'place in Gen 14'

Zohar	 'Simeon's son, also a man in Gen. 23:8'

Zuzite	 'person of the Zuzites'

